Wavelength_1,Abs_1,Wavelength_2,Abs_2,Wavelength_3,Abs_3,Wavelength_4,Abs_4
1332,0.009447341,1332,0.00948901,1332,0.011255399,1332,0.018786319
1331,0.009533832,1331,0.009539547,1331,0.011304123,1331,0.018918408
1330,0.009538198,1330,0.009548359,1330,0.011298331,1330,0.018806566
1329,0.0095491,1329,0.009518696,1329,0.01125346,1329,0.01890178
1328,0.009594113,1328,0.009596045,1328,0.011320304,1328,0.018968541
1327,0.009660119,1327,0.009587206,1327,0.011320092,1327,0.018947827
1326,0.009598188,1326,0.009540658,1326,0.011298598,1326,0.018945772
1325,0.009582628,1325,0.009541558,1325,0.01131345,1325,0.018998992
1324,0.009672507,1324,0.009640533,1324,0.011377406,1324,0.01901868
1323,0.009720868,1323,0.009747103,1323,0.011494769,1323,0.019101363
1322,0.009796849,1322,0.009780699,1322,0.011526347,1322,0.019179165
1321,0.009845675,1321,0.009809426,1321,0.011557157,1321,0.019229462
1320,0.009897816,1320,0.009918473,1320,0.01161889,1320,0.019322362
1319,0.009924485,1319,0.009916592,1319,0.011656938,1319,0.019379606
1318,0.009972769,1318,0.009986198,1318,0.011723605,1318,0.019416366
1317,0.010073723,1317,0.010056052,1317,0.011779191,1317,0.019482799
1316,0.010088427,1316,0.010073617,1316,0.011841807,1316,0.019510036
1315,0.010164976,1315,0.010120751,1315,0.011864844,1315,0.019571988
1314,0.010175073,1314,0.010128674,1314,0.011891235,1314,0.019635087
1313,0.010212121,1313,0.010181512,1313,0.011929946,1313,0.019690882
1312,0.01025927,1312,0.010219011,1312,0.011942345,1312,0.019713582
1311,0.010284211,1311,0.010309367,1311,0.012021989,1311,0.019798538
1310,0.010331528,1310,0.010311965,1310,0.012076894,1310,0.019824494
1309,0.010428085,1309,0.010385769,1309,0.012132312,1309,0.019909851
1308,0.010818801,1308,0.010841068,1308,0.012569648,1308,0.020318501
1307,0.010553068,1307,0.010546518,1307,0.012259864,1307,0.020028243
1306,0.010539701,1306,0.010521772,1306,0.012268544,1306,0.02007384
1305,0.010574367,1305,0.010557896,1305,0.012347556,1305,0.020122154
1304,0.010642698,1304,0.01062442,1304,0.012355066,1304,0.020188099
1303,0.010634713,1303,0.010635933,1303,0.012385056,1303,0.020212099
1302,0.010688196,1302,0.010643839,1302,0.012408149,1302,0.020243069
1301,0.010407855,1301,0.010385636,1301,0.012205921,1301,0.019935679
1300,0.01065957,1300,0.010647845,1300,0.012418164,1300,0.020280037
1299,0.010715126,1299,0.010722396,1299,0.012436437,1299,0.020315923
1298,0.010714993,1298,0.010669095,1298,0.012453592,1298,0.020344568
1297,0.010719503,1297,0.010724837,1297,0.012406231,1297,0.020309223
1296,0.010757978,1296,0.01074012,1296,0.012513375,1296,0.020372836
1295,0.01082379,1295,0.010810202,1295,0.012548118,1295,0.020437408
1294,0.010821481,1294,0.010821322,1294,0.01253722,1294,0.020462399
1293,0.01086031,1293,0.010824692,1293,0.012553501,1293,0.020517297
1292,0.010844252,1292,0.010855798,1292,0.012586968,1292,0.02054297
1291,0.010928261,1291,0.010897655,1291,0.012670701,1291,0.020564439
1290,0.010931208,1290,0.01097355,1290,0.012646049,1290,0.020650186
1289,0.010972436,1289,0.010965188,1289,0.012713401,1289,0.020683631
1288,0.011026704,1288,0.010995958,1288,0.012718839,1288,0.020689305
1287,0.011030474,1287,0.011035678,1287,0.012814941,1287,0.020788385
1286,0.011085891,1286,0.011090379,1286,0.012806064,1286,0.020839112
1285,0.011100736,1285,0.011106923,1285,0.012832351,1285,0.0208572
1284,0.011136694,1284,0.011166866,1284,0.012895466,1284,0.020895524
1283,0.011226019,1283,0.011212843,1283,0.012942587,1283,0.020969383
1282,0.011232953,1282,0.011208221,1282,0.012932986,1282,0.02102736
1281,0.011306967,1281,0.011235795,1281,0.013007077,1281,0.021043038
1280,0.0112711,1280,0.011316292,1280,0.013016094,1280,0.021127794
1279,0.011357795,1279,0.011336406,1279,0.013046076,1279,0.02115353
